pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label,pickups,unloads,rhythms,label
AP73,AP108,184,T1.5-UPON,AP308,AP334,184,T1.5-DOWN,AP107,AP91,184,T1.5-UPON,AP333,AP224,184,T1.5-DOWN,AP61,AP92,268,T3.0-UPON,AP275,AP317,268,T3.0-DOWN,AP92,AP430,268,T3.0-UPON,AP317,AP228,268,T3.0-DOWN,AP40,AP122,268,T3.0-UPON,AP250,AP348,268,T3.0-DOWN,AP122,AP30,268,T3.0-UPON,AP348,AP228,268,T3.0-DOWN,AP11,AP144,536,T1.5-UPON,AP230,AP359,536,T1.5-DOWN,AP146,AP89,536,T1.5-UPON,AP361,AP222,536,T1.5-DOWN,AP145,AP429,2680,T1.5-UPON,AP360,AP227,2680,T1.5-DOWN,AP81,AP117,296,T1.5-UPON,AP300,AP343,296,T1.5-DOWN,AP116,AP91,2680,T1.5-UPON,AP342,AP224,2680,T1.5-DOWN,AP44,AP93,101,T3.0-UPON,AP283,AP318,101,T3.0-DOWN,AP95,AP89,341,T3.0-UPON,AP320,AP222,341,T3.0-DOWN,AP93,AP91,101,T3.0-UPON,AP318,AP224,101,T3.0-DOWN,AP23,AP126,101,T3.0-UPON,AP254,AP353,101,T3.0-DOWN,AP125,AP89,341,T3.0-UPON,AP351,AP222,341,T3.0-DOWN,AP126,AP91,101,T3.0-UPON,AP353,AP224,101,T3.0-DOWN,AP19,AP137,268,T1.5-UPON,AP238,AP212,268,T1.5-DOWN,AP137,AP91,2250,T1.5-UPON,AP212,AP224,2250,T1.5-DOWN,AP15,AP142,1607,T1.5-UPON,AP234,AP357,1607,T1.5-DOWN,AP146,AP89,536,T1.5-UPON,AP361,AP222,536,T1.5-DOWN,AP145,AP429,2812,T1.5-UPON,AP360,AP227,2812,T1.5-DOWN,AP3,AP133,281,T2.0-UPON,AP242,AP219,281,T2.0-DOWN,AP133,AP135,281,T2.0-UPON,AP219,AP210,281,T2.0-DOWN,AP138,AP89,703,T2.0-UPON,AP221,AP222,703,T2.0-DOWN,AP135,AP1,281,T2.0-UPON,AP210,AP225,281,T2.0-DOWN
AP74,AP110,,,AP309,AP336,,,AP109,,,,AP335,,,,AP62,AP99,,,AP276,AP324,,,AP99,AP431,,,AP324,AP229,,,AP41,AP123,,,AP251,AP349,,,AP123,AP31,,,AP349,AP229,,,AP12,AP149,,,AP231,AP364,,,AP150,AP90,,,AP365,AP223,,,AP151,,,,AP366,,,,AP82,AP120,,,AP301,AP346,,,AP119,,,,AP345,,,,AP45,AP94,,,AP284,AP319,,,AP98,AP90,,,AP323,AP321,,,AP94,,,,AP319,,,,AP24,AP127,,,AP255,AP354,,,AP128,AP90,,,AP352,AP223,,,AP127,,,,AP354,,,,AP20,AP141,,,AP239,AP215,,,AP141,,,,AP215,,,,AP16,AP143,,,AP235,AP358,,,AP150,AP90,,,AP365,AP223,,,AP151,,,,AP366,,,,AP4,AP134,,,AP243,AP220,,,AP134,AP136,,,AP220,AP211,,,AP164,AP90,,,AP380,AP223,,,AP136,AP2,,,AP211,AP226,,
AP75,AP112,,,AP310,AP338,,,AP111,,,,AP337,,,,AP63,AP100,,,AP277,AP325,,,AP100,,,,AP325,,,,AP42,AP185,,,AP252,AP401,,,AP185,,,,AP401,,,,AP13,AP196,,,AP232,AP412,,,AP195,,,,AP414,,,,AP194,,,,AP431,,,,AP83,AP180,,,AP302,AP396,,,AP179,,,,AP395,,,,AP46,AP96,,,AP285,AP323,,,AP103,,,,AP328,,,,AP96,,,,AP323,,,,AP25,AP129,,,AP256,AP355,,,AP188,,,,AP404,,,,AP129,,,,AP355,,,,AP21,AP152,,,AP240,AP367,,,AP152,,,,AP367,,,,AP17,AP147,,,AP236,AP362,,,AP195,,,,AP414,,,,AP194,,,,AP413,,,,AP5,AP115,,,AP244,AP381,,,AO115,AP139,,,AP381,AP213,,,AP169,,,,AP385 ,,,,AP139,,,,AP213,,,
AP76,AP114,,,AP311,AP340,,,AP113,,,,AP339,,,,AP64,AP316,,,AP278,AP332,,,AP316,,,,AP332,,,,AP43,AP186,,,AP253,AP402,,,AP186,,,,AP402,,,,AP14,AP201,,,AP233,AP417,,,AP202,,,,AP418,,,,AP203,,,,AP419,,,,AP84,AP183,,,AP303,AP399,,,AP182,,,,AP398,,,,AP47,AP97,,,AP286,AP322,,,AP106,,,,AP331,,,,AP97,,,,AP322,,,,AP26,AP130,,,AP257,AP356,,,AP191,,,,AP407,,,,AP130,,,,AP356,,,,AP22,AP155,,,AP241,AP370,,,AP155,,,,AP370,,,,AP18,AP178,,,AP237,AP363,,,AP202,,,,AP418,,,,AP203,,,,AP419,,,,AP6,AP116,,,AP245,AP382,,,AP116,AP140,,,AP382,AP214,,,AP216,,,,AP426,,,,AP140,,,,AP214,,,
AP77,AP171,,,AP312,AP387,,,AP170,,,,AP386,,,,AP65,,,,AP279,,,,,,,,,,,,AP69,,,,AP271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP85,,,,AP304,,,,,,,,,,,,AP48,AP101,,,AP287,AP326,,,,,,,,,,,AP101,,,,AP326,,,,AP27,AP189,,,AP258,AP405,,,,,,,,,,,AP189,,,,AP405,,,,,AP160,,,,AP375,,,AP160,,,,AP375,,,,"",AP197,,,,AP410,,,,,,,,,,,,,,,,,,,AP7,AP117,,,AP246,AP383,,,AP117,AP153,,,AP383,AP368,,,,,,,,,,,AP153,,,,AP368,,,
AP78,AP173,,,AP313,AP389,,,AP172,,,,AP388,,,,AP66,,,,AP280,,,,,,,,,,,,AP70,,,,AP272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP86,,,,AP305,,,,,,,,,,,,AP49,AP102,,,AP288,AP327,,,,,,,,,,,AP102,,,,AP327,,,,AP28,AP190,,,AP259,AP406,,,,,,,,,,,AP190,,,,AP406,,,,,AP163,,,,AP378,,,AP163,,,,AP378,,,,"",AP198,,,,AP411,,,,,,,,,,,,,,,,,,,AP8,AP118,,,AP247,AP384,,,AP118,AP154,,,AP384,AP369,,,,,,,,,,,AP154,,,,AP369,,,
AP79,AP175,,,AP314,AP391,,,AP174,,,,AP390,,,,AP67,,,,AP281,,,,,,,,,,,,AP71,,,,AP273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP87,,,,AP306,,,,,,,,,,,,AP50,AP104,,,AP289,AP329,,,,,,,,,,,AP104,,,,AP329,,,,AP29,AP192,,,AP260,AP408,,,,,,,,,,,AP192,,,,AP408,,,,,AP204,,,,AP420,,,AP204,,,,AP420,,,,,AP199,,,,AP415,,,,,,,,,,,,,,,,,,,AP9,AP217,,,AP248,AP427,,,AP217,AP156,,,AP427,AP371,,,,,,,,,,,AP156,,,,AP371,,,
AP80,AP177,,,AP315,AP393,,,AP176,,,,AP392,,,,AP68,,,,AP282,,,,,,,,,,,,AP72,,,,AP274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP88,,,,AP307,,,,,,,,,,,,AP51,AP105,,,AP290,AP330,,,,,,,,,,,AP105,,,,AP330,,,,AP30,AP193,,,AP261,AP409,,,,,,,,,,,AP193,,,,AP409,,,,,AP207,,,,AP423,,,AP207,,,,AP423,,,,,AP200,,,,AP416,,,,,,,,,,,,,,,,,,,AP10,AP218,,,AP249,AP428,,,AP218,AP157,,,AP428,AP372,,,,,,,,,,,AP157,,,,AP372,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP53,,,,AP292,,,,,,,,,,,,,,,,,,,,AP32,,,,AP263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP158,,,,AP373,,,,,,,,,,,AP158,,,,AP373,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP54,,,,AP293,,,,,,,,,,,,,,,,,,,,AP33,,,,AP264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP159,,,,AP374,,,,,,,,,,,AP159,,,,AP374,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP55,,,,AP294,,,,,,,,,,,,,,,,,,,,AP34,,,,AP265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP161,,,,AP376,,,,,,,,,,,AP161,,,,AP376,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP56,,,,AP295,,,,,,,,,,,,,,,,,,,,AP35,,,,AP266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP162,,,,AP377,,,,,,,,,,,AP162,,,,AP377,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP57,,,,AP296,,,,,,,,,,,,,,,,,,,,AP36,,,,AP267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP205,,,,AP421,,,,,,,,,,,AP205,,,,AP421,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP58,,,,AP297,,,,,,,,,,,,,,,,,,,,AP37,,,,AP268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP206,,,,AP422,,,,,,,,,,,AP206,,,,AP422,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP59,,,,AP298,,,,,,,,,,,,,,,,,,,,AP38,,,,AP269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP208,,,,AP424,,,,,,,,,,,AP208,,,,AP424,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP60,,,,AP299,,,,,,,,,,,,,,,,,,,,AP39,,,,AP270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP209,,,,AP425,,,,,,,,,,,AP209,,,,AP425,,,
